Domain,Ping Result,IP Address

proffloud.ru,0.051807403564453125,90.156.201.39
test.proffloud.ru,0.050327301025390625,90.156.201.84
vk.com,0.05852103233337402,87.240.132.72
google.com,0.06649565696716309,64.233.161.101
github.com,0.09417128562927246,140.82.121.3
stackoverflow.com,0.08286404609680176,188.114.99.224
python.org,0.07950234413146973,151.101.192.223
youtube.com,0.06625747680664062,216.58.211.238
fucken.ua,Error: Invalid domain,
pornhub.com,0.1447768211364746,66.254.114.41
